x	t=0	t=0.005	t=0.01	t=0.015	t=0.02
0	8.55292e-15	0.640038	0.135391	0.00950891	0.00171498
0.00497512	2.74016e-14	2.32803	0.52647	0.0376289	0.00680885
0.00995025	8.6067e-14	4.46334	1.12966	0.0831628	0.0151395
0.0149254	2.65032e-13	6.32185	1.87835	0.14414	0.0264841
0.0199005	8.0013e-13	7.34263	2.6907	0.217873	0.0405479
0.0248756	2.36823e-12	7.33395	3.47904	0.301101	0.0569738
0.0298507	6.87204e-12	6.51703	4.16022	0.390235	0.0753498
0.0348259	1.95501e-11	5.40101	4.66647	0.48164	0.0952174
0.039801	5.4527e-11	4.5552	4.95486	0.571888	0.116084
0.0447761	1.49099e-10	4.38228	5.01269	0.657905	0.137437
0.0497512	3.99705e-10	4.98439	4.85668	0.736971	0.158768
0.0547264	1.05052e-09	6.16406	4.52594	0.806623	0.179593
0.0597015	2.70688e-09	7.54009	4.07191	0.864557	0.199469
0.0646766	6.83807e-09	8.71409	3.54901	0.908617	0.218004
0.0696517	1.69355e-08	9.41327	3.00946	0.936944	0.234862
0.0746269	4.1121e-08	9.55841	2.50271	0.948261	0.249749
0.079602	9.78881e-08	9.24606	2.07755	0.942207	0.262411
0.0845771	2.28453e-07	8.67111	1.78402	0.919604	0.272632
0.0895522	5.22712e-07	8.03349	1.67218	0.882515	0.280242
0.0945274	1.17255e-06	7.46881	1.78651	0.834086	0.285136
0.0995025	2.57868e-06	7.02267	2.15625	0.778164	0.287296
0.104478	5.55987e-06	6.66608	2.78411	0.718836	0.286804
0.109453	1.17526e-05	6.33372	3.63712	0.660006	0.283845
0.114428	2.43557e-05	5.96343	4.6438	0.605121	0.27869
0.119403	4.94845e-05	5.52149	5.70041	0.557076	0.271665
0.124378	9.85684e-05	5.00901	6.68622	0.518266	0.263118
0.129353	0.000192489	4.45338	7.48443	0.490687	0.253381
0.134328	0.000368533	3.89331	8.00331	0.475985	0.242758
0.139303	0.000691745	3.36492	8.19211	0.475396	0.231528
0.144279	0.00127296	2.89345	8.04823	0.489576	0.219956
0.149254	0.00229661	2.49087	7.61481	0.518394	0.208321
0.154229	0.00406216	2.15788	6.97044	0.560798	0.196934
0.159204	0.00704414	1.88756	6.21366	0.614849	0.186143
0.164179	0.0119757	1.66917	5.44556	0.67797	0.176329
0.169154	0.0199605	1.49095	4.75363	0.747382	0.16788
0.174129	0.0326169	1.34188	4.19944	0.820618	0.161171
0.179104	0.0522535	1.2127	3.81208	0.895959	0.156534
0.18408	0.0820707	1.09641	3.58807	0.972673	0.154241
0.189055	0.126375	0.9883	3.49699	1.05094	0.15449
0.19403	0.190781	0.885774	3.49119	1.1315	0.157397
0.199005	0.282363	0.78793	3.51688	1.21505	0.162985
0.20398	0.409715	0.695015	3.52443	1.30163	0.171185
0.208955	0.582849	0.607874	3.47599	1.39011	0.181821
0.21393	0.812888	0.527489	3.34971	1.47798	0.194628
0.218905	1.11149	0.454652	3.14052	1.56146	0.209268
0.223881	1.48998	0.389786	2.85795	1.63597	0.225375
0.228856	1.9582	0.332896	2.52211	1.69683	0.242612
0.233831	2.52309	0.283615	2.15872	1.74003	0.260737
0.238806	3.18719	0.241293	1.79426	1.76295	0.279641
0.243781	3.94716	0.205122	1.45195	1.76476	0.299369
0.248756	4.7925	0.174243	1.1491	1.74659	0.320081
0.253731	5.70478	0.147839	0.895941	1.7114	0.341981
0.258706	6.65758	0.12519	0.695712	1.66356	0.365201
0.263682	7.61718	0.105705	0.545806	1.60836	0.389692
0.268657	8.54422	0.0889163	0.439441	1.55152	0.415129
0.273632	9.39617	0.0744626	0.36751	1.49882	0.440883
0.278607	10.1305	0.0620594	0.320285	1.45576	0.466059
0.283582	10.708	0.0514722	0.288757	1.42753	0.489606
0.288557	11.0966	0.0424949	0.265523	1.41895	0.510491
0.293532	11.2737	0.0349366	0.245205	1.43448	0.527883
0.298507	11.2292	0.0286161	0.22448	1.47815	0.54133
0.303483	10.9655	0.0233616	0.201824	1.55343	0.550872
0.308458	10.4981	0.0190139	0.177086	1.66296	0.557069
0.313433	9.85349	0.0154292	0.151013	1.80817	0.560942
0.318408	9.06717	0.0124818	0.124798	1.98896	0.563825
0.323383	8.18	0.0100639	0.0997165	2.20335	0.56717
